date,dmi_harmonie_arome_europe,metno_nordic,ecmwf_ifs025,ecmwf_aifs025_single,gfs_global,ecmwf_ifs,dmi_seamless,gfs_seamless
2025-11-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 07:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-11-20 08:00:00+00:00,3.0,1.0,5.0,12.0,4.0,4.0,3.0,4.0
2025-11-20 09:00:00+00:00,3.0,3.0,14.0,26.0,11.0,19.0,3.0,11.0
2025-11-20 10:00:00+00:00,11.0,8.0,22.0,34.0,17.0,29.0,11.0,17.0
2025-11-20 11:00:00+00:00,18.0,16.0,27.0,37.0,20.0,31.0,18.0,20.0
2025-11-20 12:00:00+00:00,12.0,15.0,28.0,34.0,12.0,47.0,12.0,12.0
2025-11-20 13:00:00+00:00,18.0,14.0,24.0,27.0,10.0,33.0,18.0,10.0
2025-11-20 14:00:00+00:00,27.0,10.0,15.0,16.0,8.0,22.0,27.0,8.0
2025-11-20 15:00:00+00:00,8.0,3.0,4.0,4.0,3.0,4.0,8.0,3.0
2025-11-20 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 07:00:00+00:00,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025-11-21 08:00:00+00:00,8.0,12.0,15.0,38.0,35.0,30.0,8.0,35.0
2025-11-21 09:00:00+00:00,32.0,53.0,62.0,85.0,128.0,85.0,32.0,128.0
2025-11-21 10:00:00+00:00,78.0,144.0,137.0,113.0,201.0,134.0,78.0,201.0
2025-11-21 11:00:00+00:00,169.0,203.0,193.0,119.0,234.0,162.0,169.0,234.0
2025-11-21 12:00:00+00:00,223.0,231.0,193.0,106.0,218.0,180.0,223.0,218.0
2025-11-21 13:00:00+00:00,168.0,182.0,150.0,78.0,164.0,153.0,168.0,164.0
2025-11-21 14:00:00+00:00,95.0,101.0,88.0,44.0,76.0,82.0,95.0,76.0
2025-11-21 15:00:00+00:00,16.0,17.0,22.0,10.0,11.0,13.0,16.0,11.0
2025-11-21 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-22 08:00:00+00:00,32.0,27.0,24.0,39.0,34.0,36.0,32.0,34.0
2025-11-22 09:00:00+00:00,122.0,60.0,66.0,91.0,116.0,96.0,122.0,116.0
2025-11-22 10:00:00+00:00,179.0,65.0,108.0,120.0,163.0,141.0,179.0,163.0
2025-11-22 11:00:00+00:00,188.0,204.0,133.0,124.0,152.0,176.0,188.0,152.0
2025-11-22 12:00:00+00:00,136.0,156.0,124.0,106.0,200.0,167.0,136.0,200.0
2025-11-22 13:00:00+00:00,78.0,61.0,92.0,75.0,156.0,131.0,78.0,156.0
2025-11-22 14:00:00+00:00,20.0,30.0,52.0,39.0,70.0,68.0,20.0,70.0
2025-11-22 15:00:00+00:00,,5.0,13.0,8.0,7.0,10.0,10.0,7.0
2025-11-22 16:00:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 17:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 18:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 19:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 20:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 21:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 22:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22 23:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 00:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 01:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 02:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 03:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 04:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 05:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 06:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 07:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 08:00:00+00:00,,,32.0,44.0,30.0,37.0,37.0,30.0
2025-11-23 09:00:00+00:00,,,96.0,104.0,100.0,101.0,101.0,100.0
2025-11-23 10:00:00+00:00,,,164.0,139.0,183.0,158.0,158.0,183.0
2025-11-23 11:00:00+00:00,,,204.0,145.0,166.0,185.0,185.0,166.0
2025-11-23 12:00:00+00:00,,,191.0,126.0,148.0,201.0,201.0,148.0
2025-11-23 13:00:00+00:00,,,140.0,90.0,106.0,161.0,161.0,106.0
2025-11-23 14:00:00+00:00,,,78.0,47.0,56.0,84.0,84.0,56.0
2025-11-23 15:00:00+00:00,,,18.0,10.0,9.0,12.0,12.0,9.0
2025-11-23 16:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 17:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 18:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 19:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 20:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 21:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 22:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23 23:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 00:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 01:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 02:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 03:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 04:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 05:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 06:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 07:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 08:00:00+00:00,,,21.0,26.0,28.0,30.0,30.0,28.0
2025-11-24 09:00:00+00:00,,,52.0,63.0,97.0,75.0,75.0,97.0
2025-11-24 10:00:00+00:00,,,69.0,85.0,136.0,108.0,108.0,136.0
2025-11-24 11:00:00+00:00,,,73.0,88.0,160.0,126.0,126.0,160.0
2025-11-24 12:00:00+00:00,,,65.0,75.0,151.0,123.0,123.0,151.0
2025-11-24 13:00:00+00:00,,,48.0,53.0,117.0,98.0,98.0,117.0
2025-11-24 14:00:00+00:00,,,27.0,27.0,52.0,56.0,56.0,52.0
2025-11-24 15:00:00+00:00,,,6.0,6.0,8.0,13.0,13.0,8.0
2025-11-24 16:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 17:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 18:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 19:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 20:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 21:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 22:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24 23:00:00+00:00,,,0.0,0.0,0.0,0.0,0.0,0.0
